MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual
302-215-10,2.94,2.7450378,0.19496219999999997,0.34861545303271285,0.33738666243335846
302-283-15,3.15,3.258465,-0.10846500000000026,0.11725383986493287,-0.6442893023633302
302-301-01,1.05,1.6158595,-0.5658595,0.32553435834477307,-2.1240946299021872
302-314-01,1.91,2.1324925,-0.2224925000000002,0.3706416324566869,-1.0132017007107896
302-315-01,3.8,3.7564683,0.04353169999999995,0.2668996972600324,-0.15253540845265592
302-316-02,2.75,3.0634947,-0.3134947000000001,0.18883503978230787,-1.3076205019376443
302-319-02,1.41,1.1702569,0.23974309999999988,0.2167477135773435,0.48226600486529564
302-321-02,0.83,0.53792024,0.2920797599999999,0.23889011779853325,0.6515904464438234
302-323-02,0.67,0.75694025,-0.08694024999999994,0.20000545073841797,-0.5746504244932584
302-324-01,2.28,2.7469366,-0.46693660000000037,0.21355076323938604,-1.8040500416187841
302-325-01,3.36,3.4755669,-0.11556690000000014,0.43514437414548846,-0.6672660313262889
302-327-02,0.17,0.0853948,0.0846052,0.2289037334751942,-0.019650592127432562
302-334-01,1.64,1.8524201,-0.2124201000000001,0.3520334745613848,-0.9806145332194829
302-345-02,-0.04,0.492093,-0.532093,0.22894625525946577,-2.0148501011806115
302-347-02,0.29,0.7754532,-0.4854532,0.31029033193053424,-1.8639566721705405
302-367-17,2.22,2.3233833,-0.10338329999999996,0.12647034430382872,-0.627848512775885
302-374-04,2.52,2.4109728,0.10902719999999988,0.1516936926039769,0.05936173904216788
302-376-04,2.73,2.6478074,0.08219259999999995,0.10039927569143689,-0.027456060564898105
302-389-02,3.09,3.4558012,-0.36580119999999994,0.12363222292847116,-1.47684736707247
302-397-08,2.14,2.3733828,-0.23338279999999978,0.30032291281316753,-1.0484350145317818
302-401-02,3.05,2.8665304,0.1834696,0.11001593539316776,0.3002047315022409
302-403-02,2.29,2.1159248,0.17407519999999987,0.13907428669341002,0.26981109281827936
302-414-03,2.96,3.2047172,-0.2447172000000002,0.17980709903528616,-1.0851051220745203
302-416-02,3.21,3.3797927,-0.1697926999999999,0.2355072575828941,-0.8427023947501086
302-420-02,2.62,2.7140355,-0.09403549999999994,0.16627830522801226,-0.5976056387562636
302-422-02,3.07,2.93325,0.1367499999999997,0.13713264356807298,0.1490531260927205
302-423-01,2.57,2.5858629,-0.015862900000000124,0.13808571012735044,-0.34469435550392036
302-434-05,3.34,3.6482399,-0.30823990000000023,0.9991823385118505,-1.2906196830927499
302-453-01,2.33,2.574026,-0.24402599999999985,0.27085829827636915,-1.0828688873965882
302-462-01,3.39,3.606435,-0.2164349999999997,0.10602774598095677,-0.9936039119932442
302-472-01,3.46,3.0756626,0.38433740000000016,0.20488590464776937,0.9500709641985459
302-473-01,3.27,3.2070367,0.06296329999999983,0.169666922844928,-0.08966848459894997
302-482-01,3.36,3.2799213,0.08007870000000006,0.13491549768195027,-0.03429514691570519
302-484-01,2.73,2.770671,-0.040671000000000124,0.1658266914089101,-0.4249558333881467
302-488-01,3.48,3.373031,0.10696899999999987,0.24891293192736744,0.05270285852405825
302-491-01,2.28,2.3835022,-0.10350220000000032,0.1850748727218976,-0.6282331891404782
302-492-01,2.67,2.3964865,0.27351349999999996,0.12821669104277195,0.5915231512304538
302-493-01,2.88,2.8177435,0.062256499999999715,0.16057590776242173,-0.09195518985120954
302-494-01,2.23,2.1681056,0.061894399999999905,0.22157406655532977,-0.09312668952840622
302-495-01,2.7,2.7615755,-0.061575500000000005,0.1305085605909044,-0.4925880206346831
302-497-01,3.61,3.705466,-0.09546600000000005,0.19233340703219592,-0.6022337257163046
302-499-01,2.91,2.8892267,0.020773300000000106,0.17978475676652136,-0.2261655058111946
302-500-01,3.73,3.4756753,0.2543247000000002,0.25372880436553485,0.5294417565720632
302-503-01,3.97,4.0251713,-0.055171300000000034,0.3489739268073968,-0.47186855575562503
302-505-01,3.04,2.7246306,0.31536940000000024,0.16220324280510318,0.7269392609758358
302-511-01,2.92,2.7895844,0.13041560000000008,0.11769148401908339,0.12855948468085046
302-515-01,3.82,3.7564683,0.06353169999999997,0.2668996972600324,-0.0878295439291927
302-516-02,3.41,3.0634947,0.3465053,0.18883503978230787,0.8276730273366399
302-517-01,3.59,3.7048242,-0.11482420000000015,0.21944305205732012,-0.6648631790472102
302-520-01,3.08,3.1705115,-0.09051149999999986,0.29963379332987244,-0.586204465427229
302-524-01,3.15,2.7469366,0.40306339999999974,0.21355076323938604,1.010655065151863
302-525-02,2.75,2.6672785,0.08272149999999989,0.17049090430893507,-0.025744913977575307
302-528-01,2.29,2.4009159,-0.11091590000000018,0.15832779763345345,-0.6522186825313577
302-529-01,3.0,3.039185,-0.0391849999999998,0.22854573726265393,-0.4201481876540524
302-530-01,3.03,2.9198425,0.11015749999999969,0.2045806295192169,0.06301859097571076
302-538-01,2.81,2.7176285,0.09237150000000005,0.12018476634660878,0.005475665654996174
302-539-02,3.4,3.5239108,-0.12391079999999999,0.29939509286049454,-0.6942609944761546
302-540-01,3.25,3.211126,0.03887399999999985,0.1526103102298305,-0.16760443371220293
302-541-02,2.33,2.353863,-0.023862999999999968,0.16384518003148893,-0.3705770248426277
302-542-04,4.53,4.408799,0.12120100000000011,0.2979889459910373,0.09874755171895541
302-543-01,2.11,2.0590932,0.05090679999999992,0.1817255517093989,-0.12867479738030638
302-548-01,2.62,2.5866668,0.03333319999999995,0.16460123094978502,-0.18553054641978287
302-549-01,3.46,2.8406441,0.6193559,0.23240569407257705,1.7104247252739213
302-553-02,4.9,4.2681327,0.6318673000000006,0.2431938986528372,1.7509027729438662
302-554-02,3.41,3.4484932,-0.038493200000000005,0.23105987983470713,-0.4179100118001864
302-555-02,5.73,4.6595316,1.0704684000000002,0.19247648210154017,3.1699059407659607
302-556-01,2.63,3.0076215,-0.37762150000000005,0.16841244400713495,-1.5150895035938048
302-557-01,2.28,2.2340257,0.04597429999999969,0.16165605699543134,-0.1446328812184062
302-558-01,2.21,2.4088237,-0.19882370000000016,0.14926909298412655,-0.9366261923991422
302-560-01,2.41,2.6059158,-0.19591579999999986,0.15586965947457165,-0.9272182832267524
302-561-01,2.1,1.9192593,0.1807407000000001,0.21242154767898394,0.2913759398173372
302-562-01,2.26,2.2278783,0.03212169999999981,0.23913118409155174,-0.18945010416329208
302-563-01,2.23,2.207025,0.02297500000000019,0.25991589569415763,-0.2190423607151289
302-564-01,2.02,1.913055,0.10694500000000007,0.3401788541925441,0.052625211486630734
302-565-01,2.51,2.7557278,-0.24572780000000005,0.1544030540331326,-1.0883747094088903
302-566-01,2.38,2.488754,-0.10875400000000024,0.138900598693037,-0.6452243021056941
302-567-01,2.15,2.1334426,0.016557399999999944,0.2464924223470364,-0.23980517852341854
302-568-01,2.13,1.8713923,0.2586077,0.23038554766962602,0.5432985174597621
302-569-01,2.52,2.2832892,0.2367108,0.25303494984369784,0.47245562521557116
302-570-01,2.1,1.75335,0.3466500000000001,0.308851931459938,0.8281411742664675
302-571-01,2.22,1.9390357,0.28096430000000017,0.24829805813642272,0.6156286740000255
302-572-01,2.39,2.2294056,0.16059439999999991,0.13542839170671825,0.22619675189488442
302-573-01,2.07,2.0431464,0.026853599999999922,0.17239131050198772,-0.20649395240809454
302-574-01,2.08,2.0112534,0.06874659999999988,0.15315197866574803,-0.0709578132840226
