MOLECULE_NAME,y_true,y_pred,residual,std_residual,leverage
100-00-5,2.39,2.1941729,0.195827141,0.341619524,0.091288745
100-01-6,2.025,1.419269,0.605731034,1.056694933,0.176476848
100-02-7,1.91,1.8979045,0.012095485,0.021100516,0.209473011
100-06-1,1.74,1.0956445,0.644355526,1.124075177,0.221230908
100-09-4,1.96,1.874814,0.085185966,0.148606517,0.160851525
100-18-5,5.23,4.837834,0.392166119,0.684131945,0.267828117
100-20-9,0.88,1.5289617,-0.648961658,-1.132110553,0.295518144
100-21-0,1.987,1.907945,0.079054963,0.13791101,0.273139531
100-25-4,1.46,1.6302371,-0.170237103,-0.296977823,0.24830237
100-39-0,2.92,2.6117477,0.308252258,0.537744611,0.093743329
100-40-3,3.93,3.858956,0.071043901,0.123935751,0.224826992
100-41-4,3.125,3.0908654,0.034134626,0.059547695,0.083354918
100-42-5,2.967,3.244294,-0.277293928,-0.48373795,0.135761379
100-44-7,2.3,2.439916,-0.139915895,-0.24408262,0.115098147
100-46-9,1.09,1.605275,-0.515275035,-0.898894869,0.10728633
100-47-0,1.56,2.8774827,-1.317482653,-2.298342275,0.073156601
100-51-6,1.1,1.6461884,-0.546188378,-0.952823051,0.121483334
100-52-7,1.48,1.4238166,0.056183438,0.098011743,0.198705693
100-61-8,1.68,1.740217,-0.06021697,-0.105048221,0.219257299
100-66-3,2.11,2.0374205,0.072579489,0.126614576,0.149566573
100-68-5,2.74,2.992961,-0.25296093,-0.441289149,0.090495677
100-69-6,1.465,1.6824789,-0.217478905,-0.379390924,0.209813345
100-97-0,-2.18,-1.1681675,-1.011832528,-1.765137074,0.647334343
1003-03-8,0.83,1.7873969,-0.957396908,-1.670174391,0.119957246
10031-82-0,2.09,1.9217815,0.16821846,0.29345631,0.273340321
10041-19-7,3.95,4.6145244,-0.664524364,-1.159259621,0.346801225
101-41-7,1.825,2.096027,-0.271026897,-0.472805145,0.105787413
101-43-9,3.13,3.14464,-0.014639969,-0.025539357,0.216112392
101-81-5,4.14,4.2353487,-0.095348701,-0.16633536,0.207187759
101-84-8,4.21,4.3236246,-0.113624611,-0.198217598,0.272092563
101-94-0,3.79,3.375376,0.414624014,0.723309637,0.18749979
101-97-3,2.28,2.6134846,-0.333484621,-0.581762349,0.101729094
10127-27-2,-1.56,-0.8360799,-0.723920105,-1.262875209,0.37100955
10191-18-1,-3.59,-2.353878,-1.236121979,-2.156408963,0.288479472
102-09-0,3.28,3.4754968,-0.195496769,-0.341043192,0.296559013
102-69-2,2.79,2.6746616,0.115338364,0.201207232,0.45165908
102-76-1,0.237,-0.14991722,0.386917215,0.674975257,0.381660497
103-09-3,4.16,4.2464185,-0.086418476,-0.150756624,0.124986615
103-11-7,4.64,4.8151417,-0.175141678,-0.305533831,0.099127135
103-16-2,3.2,3.25873,-0.058729935,-0.102454094,0.237781973
103-23-1,8.94,7.785168,1.154831829,2.014598681,0.32100033
103-25-3,2.32,2.1745744,0.145425625,0.253694317,0.185284122
103-28-6,2.99,3.1814492,-0.191449175,-0.333982183,0.272970535
103-30-0,4.81,4.5288754,0.281124649,0.490420625,0.173456356
103-33-3,3.82,3.1222687,0.697731323,1.217189004,0.430903154
103-37-7,3.127,3.0955548,0.031445171,0.054855953,0.163294557
103-38-8,3.26,3.3165045,-0.056504478,-0.098571796,0.220700668
103-41-3,4.18,4.1899023,-0.009902306,-0.017274525,0.221917011
103-45-7,2.3,2.3851225,-0.085122538,-0.148495866,0.117437775
103-47-9,-2.2,-0.99885285,-1.201147151,-2.095395541,0.204244336
103-50-4,3.31,3.3406868,-0.030686798,-0.053532975,0.30790393
103-52-6,2.48,2.8589137,-0.37891366,-0.661013093,0.11962732
103-60-6,3.2,2.8440108,0.35598917,0.621021429,0.226361272
103-63-9,3.09,3.2792451,-0.189245138,-0.330137251,0.115472374
103-65-1,3.69,3.536255,0.153745117,0.268207632,0.106162214
103-82-2,1.41,1.819371,-0.409370985,-0.714145753,0.340073825
103-90-2,0.468,1.0596316,-0.591631586,-1.032098512,0.285357842
1034-01-1,3.66,3.7604601,-0.100460138,-0.175252238,0.279326996
104-51-8,4.38,3.9572818,0.422718172,0.737429858,0.093830874
104-54-1,1.7,2.1077764,-0.407776403,-0.711364013,0.126349611
104-72-3,7.37,7.8121867,-0.442186718,-0.771392645,0.068799667
104-76-7,3.1,2.9580162,0.141983843,0.247690144,0.105537252
104-83-6,3.18,2.4859667,0.694033318,1.21073785,0.150731768
104-93-8,2.66,2.0987267,0.561273251,0.979138539,0.112284999
104-94-9,0.95,0.65898025,0.29101975,0.507682581,0.248142374
105-05-5,4.45,3.8704584,0.579541636,1.011007651,0.283951912
105-11-3,1.49,1.1685401,0.32145988,0.560785245,0.220027464
105-13-5,1.1,1.1806599,-0.08065989,-0.140710798,0.159118503
105-36-2,1.12,0.6690672,0.450932796,0.786650136,0.065188962
105-37-3,1.21,1.1289314,0.081068597,0.141423785,0.114169785
105-38-4,1.36,0.92769796,0.432302043,0.754148876,0.290211787
105-39-5,0.94,0.830056,0.109943988,0.191796769,0.111145168
105-45-3,-0.33,-0.6143724,0.284372373,0.496086263,0.176507652
105-46-4,1.615,1.4000248,0.214975228,0.375023272,0.15853555
105-53-3,0.96,0.8831699,0.076830111,0.134029766,0.199786107
105-58-8,1.21,0.72584796,0.48415204,0.844600952,0.167297362
105-67-9,2.3,2.1712446,0.128755379,0.224613151,0.117286265
105-74-8,6.5,5.9721107,0.527889252,0.920900311,0.256835072
105-87-3,4.04,4.102498,-0.062498055,-0.109027561,0.281949972
105-99-7,4.17,4.131627,0.038372917,0.066941373,0.261057067
10519-11-6,4.45,4.4995303,-0.049530315,-0.086405402,0.239748443
10521-91-2,2.89,2.7345157,0.155484333,0.271241686,0.099719842
106-18-3,6.51,6.48225,0.027749786,0.048409371,0.085887112
106-21-8,3.99,3.7808821,0.20911788,0.364805155,0.150247482
106-22-9,3.91,4.1813264,-0.271326389,-0.473327607,0.156661386
106-24-1,3.56,3.6065147,-0.046514692,-0.081144661,0.158884017
106-25-2,3.47,3.538663,-0.06866291,-0.119782124,0.153184005
106-31-0,1.39,1.9254745,-0.535474524,-0.934132783,0.204181193
106-32-1,4.47,4.519962,-0.049961834,-0.087158184,0.069422336
106-37-6,3.79,3.7423751,0.047624865,0.083081352,0.111674909
106-38-7,3.42,3.0913875,0.32861249,0.573262939,0.100036455
106-41-2,2.59,1.9661263,0.623873677,1.088344688,0.170139728
106-42-3,3.15,2.9725764,0.17742362,0.309514669,0.193834499
106-43-4,3.33,2.871215,0.458784895,0.800348086,0.085163598
106-44-5,1.94,2.28723,-0.347230015,-0.605741124,0.119713538
106-46-7,3.417,3.5084605,-0.091460522,-0.159552449,0.080478958
106-48-9,2.39,1.2490119,1.140988126,1.990448406,0.156171059
106-49-0,1.39,1.4424884,-0.052488432,-0.091565822,0.210746824
106-51-4,0.2,-0.18013002,0.38013002,0.663135027,0.595336107
106-63-8,2.22,2.1568515,0.06314847,0.110162208,0.116262371
106-79-6,3.38,3.151388,0.22861207,0.398812678,0.172451717
106-88-7,0.68,0.88793457,-0.207934566,-0.362740869,0.136830061
106-89-8,0.387,-0.054061893,0.441061893,0.769430393,0.096805499
106-91-2,0.96,0.6021235,0.357876501,0.624313869,0.167399298
106-93-4,1.96,1.7447749,0.215225062,0.375459106,0.108016229
106-94-5,2.1,1.99259,0.107410049,0.187376325,0.08155915
106-95-6,1.79,1.9964634,-0.206463418,-0.360174459,0.139646298
106-98-9,2.4,2.6836004,-0.283600426,-0.494739605,0.091837222
1068-27-5,5.7,4.716462,0.983537865,1.715777167,0.784563251
107-02-8,0.293,0.30463144,-0.011631442,-0.020290995,0.371596728
107-03-9,1.773,1.7731088,-0.00010884,-0.000189871,0.057373513
107-05-1,2.1,1.3212243,0.778775668,1.358570481,0.142495396
107-06-2,1.48,0.60662305,0.873376946,1.523601965,0.189487581
107-07-3,-0.06,-0.07768734,0.017687338,0.030855478,0.080893029
107-10-8,0.37,0.592875,-0.222875004,-0.388804393,0.081678452
107-11-9,0.03,0.63859653,-0.608596535,-1.061693785,0.143405368
107-12-0,0.16,1.3889679,-1.228967872,-2.143928657,0.138601081
107-13-1,0.25,1.011754,-0.761754036,-1.328876324,0.191408567
107-15-3,-1.76,-0.2511875,-1.508812497,-2.632116286,0.144201556
107-18-6,0.17,0.8245365,-0.654536502,-1.141835842,0.131061084
107-19-7,-0.38,0.13207039,-0.512070392,-0.893304385,0.370084507
107-21-1,-1.36,-0.27091667,-1.089083329,-1.899900733,0.081547727
107-22-2,-1,-0.011488031,-0.988511969,-1.72445447,0.815522436
107-31-3,-0.09,-0.39931688,0.309316877,0.539601834,0.107914377
107-35-7,-1.3,-1.1821365,-0.117863464,-0.205612258,0.091971926
107-41-5,0.58,1.0840055,-0.504005475,-0.879235175,0.128727215
107-71-1,1.6,1.6068414,-0.006841445,-0.011934868,0.13710421
107-86-8,0.53,0.46661016,0.063389837,0.110583271,0.286406276
107-87-9,0.91,0.95359147,-0.043591466,-0.076045107,0.193547458
107-88-0,-0.29,-0.7299519,0.439951918,0.767494047,0.101960669
107-92-6,0.79,1.0112214,-0.221221409,-0.385919705,0.324913184
108-03-2,0.87,1.074645,-0.204645042,-0.357002312,0.177512965
108-05-4,0.73,0.13546881,0.594531189,1.037156856,0.297868064
108-09-8,1.2,1.8758188,-0.675818849,-1.178962795,0.169642686
108-10-1,1.333,1.6054353,-0.272435252,-0.475262013,0.195344538
108-11-2,1.43,1.425564,0.004435949,0.007738493,0.128306929
108-20-3,1.52,1.7424265,-0.222426515,-0.388022006,0.244028292
108-21-4,1.02,0.95660746,0.063392539,0.110587985,0.156931196
108-24-7,-0.27,0.90571725,-1.175717254,-2.051033205,0.186623901
108-31-6,-2.645,-0.68477154,-1.960228462,-3.41960931,0.211501256
108-32-7,-0.41,0.4349712,-0.844971213,-1.474048298,0.176434566
108-38-3,3.2,3.1416378,0.058362198,0.101812579,0.136151616
108-39-4,1.96,1.9370923,0.022907696,0.039962367,0.139740847
108-43-0,2.49,2.2380111,0.251988878,0.43959341,0.097499503
108-44-1,1.4,1.9956926,-0.595692611,-1.039182951,0.153884616
108-46-3,0.797,1.4318088,-0.634808829,-1.10742101,0.621277878
108-48-5,1.68,1.9469513,-0.26695127,-0.465695232,0.289770381
108-62-3,0.12,1.3333261,-1.213326101,-2.116641663,0.831802114
108-64-5,2.47,2.0581,0.411900015,0.718557634,0.107426917
108-67-8,3.42,3.0951247,0.324875278,0.566743391,0.301587831
108-68-9,2.35,1.9437507,0.406249261,0.70869992,0.277947309
108-70-3,4.17,2.6473517,1.522648258,2.656252707,0.102186302
108-75-8,1.88,2.0874994,-0.20749938,-0.36198169,0.273087354
108-83-8,3.71,2.929781,0.78021904,1.361088436,0.356781214
