MOLECULE_NAME,y_actual,y_pred,residual,leverage,std_residual,residual_flag,leverage_flag,note
302-434-05,2.18,2.14435889251851,0.035641107481489964,0.9992163009404388,0.180262811952322,,leverage,leverage
302-516-02,3.35,2.701487312169893,0.6485126878301073,0.15259556477149522,3.1680875897039042,std_residual,,std_residual
302-524-01,3.07,2.3642174334379398,0.7057825665620601,0.18624977747671503,3.4472853338656155,std_residual,,std_residual
306-091-01,2.89,2.8687790874425403,0.021220912557459837,0.9992163009404393,0.10996257765280215,,leverage,leverage
306-109-02,0.54,1.7400838181174696,-1.2000838181174696,0.13990301919398773,-5.844049082375724,std_residual,,std_residual
306-135-01,2.29,2.323501711602722,-0.03350171160272186,0.9992163009404389,-0.15681698532901256,,leverage,leverage
306-146-01,3.15,3.177174428662791,-0.027174428662791072,0.5111383591616123,-0.12597069819490112,,leverage,leverage
306-154-01,2.76,1.9053890012318648,0.854610998768135,0.09037644976772538,4.1728423537004895,std_residual,,std_residual
306-168-02,1.07,1.9573197228552368,-0.8873197228552367,0.12760016680564834,-4.319285423267895,std_residual,,std_residual
306-195-02,1.1,2.270046482341981,-1.1700464823419807,0.10558372792038774,-5.6976133542961165,std_residual,,std_residual
306-260-01,0.9,2.622066750881761,-1.722066750881761,0.06795065074455468,-8.388780458546652,std_residual,,std_residual
306-274-05,0.78,1.8275752726654657,-1.0475752726654657,0.16708602746719142,-5.100551055168859,std_residual,,std_residual
306-286-05,0.74,2.062728818388805,-1.322728818388805,0.11154250952447084,-6.441958632153843,std_residual,,std_residual
306-369-01,1.95,1.940368956647484,0.009631043352515967,0.516135135725246,0.05346053139747777,,leverage,leverage
306-612-01,3.24,3.2201003881246586,0.019899611875341616,0.5111383591616124,0.10352107335813855,,leverage,leverage
307-002-07,0.83,1.562231557332595,-0.7322315573325952,0.061718784406807094,-3.563211429069948,std_residual,,std_residual
307-021-03,2.11,2.9855571550406417,-0.8755571550406418,0.08801145130121807,-4.261941449924509,std_residual,,std_residual
307-027-03,2.11,2.9685441969079065,-0.8585441969079066,0.07065887021620347,-4.1790011742097795,std_residual,,std_residual
307-058-01,4.29,3.201050510529451,1.088949489470549,0.09233638829222313,5.3152714878811125,std_residual,,std_residual
307-059-01,4.57,3.7729352806197785,0.7970647193802218,0.14054511339771822,3.892297122145097,std_residual,,std_residual
307-061-01,4.45,3.7573838108585145,0.6926161891414857,0.059594742030821754,3.383097615015862,std_residual,,std_residual
307-068-01,2.75,2.793238741402985,-0.04323874140298489,0.5174002705260282,-0.2042862102560076,,leverage,leverage
307-071-04,4.9,4.09882225344317,0.8011777465568306,0.04575479181338854,3.912348638488614,std_residual,,std_residual
307-167-04,2.56,2.563194288923464,-0.0031942889234639615,0.9992163009404395,-0.009064550178784254,,leverage,leverage
307-215-01,4.8,3.357175593358161,1.4428244066418388,0.08378622490790313,7.040455489964779,std_residual,,std_residual
307-222-01,2.18,2.982545153789594,-0.8025451537895938,0.07192990919279124,-3.9059989108904376,std_residual,,std_residual
307-225-01,3.61,2.988591100282449,0.6214088997175509,0.08667963733271111,3.035953269415206,std_residual,,std_residual
307-235-01,3.82,2.848505985123788,0.9714940148762117,0.08039166290008475,4.742661517818688,std_residual,,std_residual
307-301-19,2.11,2.0936145676716333,0.016385432328366534,0.474611002133141,0.08638901329761585,,leverage,leverage
307-302-05,1.96,1.9427134183726635,0.017286581627336428,0.4737505542755426,0.09078222761893283,,leverage,leverage
307-523-01,3.62,2.7632067952696886,0.8567932047303115,0.14097264600654863,4.183480877745346,std_residual,,std_residual
307-903-02,3.12,3.085008695701124,0.03499130429887609,0.6257776301068845,0.1770949410444049,,leverage,leverage
307-910-OE,2.02,2.0088683727604875,0.011131627239512554,0.5512009487647535,0.060776063496572434,,leverage,leverage
307-911-OE,2.35,2.365837553670274,-0.01583755367027395,0.6257776301068843,-0.0707020300252214,,leverage,leverage
407-172-01,2.11,2.8174946168713357,-0.7074946168713359,0.09427851303246612,-3.4426157839041625,std_residual,,std_residual
414-025-02,3.58,3.5658497261787354,0.014150273821264658,0.5398149719363862,0.07549233904503841,,leverage,leverage
414-034-01,4.43,4.428566991456729,0.001433008543270553,0.6283839278736015,0.013494097453844063,,leverage,leverage
414-118-01,3.14,3.1828487705098416,-0.04284877050984148,0.4641646429457482,-0.20238505390531986,,leverage,leverage
414-120-01,2.94,2.927813682088709,0.012186317911290878,0.5696159189059596,0.06591781100623871,,leverage,leverage
415-084-03,2.77,2.76787472011004,0.00212527988996003,0.7315696499339136,0.016869005915727257,,leverage,leverage
415-206-01,3.38,3.3750934952059604,0.0049065047940395345,0.519931119886969,0.030427821412085686,,leverage,leverage
415-210-01,3.19,3.189123678091537,0.0008763219084628737,0.731569649933911,0.010780181236721689,,leverage,leverage
415-213-01,3.05,3.047981629705913,0.002018370294087024,0.5199311198869683,0.016347808409151614,,leverage,leverage
