MOLECULE_NAME,y_actual,y_pred
302-215-10,2.12,2.16299639911423
302-283-15,1.57,1.8218067800049134
302-301-01,1.32,1.4743452866030267
302-314-01,1.66,1.6337522063037437
302-315-01,3.52,3.527089619027213
302-316-02,2.69,2.7014873121698932
302-319-02,0.86,0.8937949654481203
302-321-02,0.76,0.7950661799745853
302-323-02,1.5,1.5372353591553152
302-324-01,2.35,2.3642174334379393
302-325-01,3.09,3.082437990171019
302-327-02,1.35,1.3518744569978773
302-334-01,1.6,1.706942029664332
302-345-02,1.78,2.1179278570342595
302-347-02,1.34,1.37614630505146
302-367-17,1.62,1.7591066342009873
302-374-04,2.5,2.332141376791442
302-376-04,2.13,2.1484115208190326
302-389-02,1.76,1.7799320755118706
302-397-08,1.59,1.596743165554726
302-401-02,1.98,1.9730299441210648
302-403-02,1.88,1.8623722193278174
302-414-03,1.87,1.8803928152940235
302-416-02,2.06,2.0290479836679074
302-420-02,2.12,2.119891335303651
302-422-02,2.67,2.702696841395266
302-423-01,2.53,2.5589469476802824
302-434-05,2.18,2.14435889251851
302-453-01,1.4,1.4038977500752834
302-462-01,2.57,2.389506726417384
302-472-01,2.7,2.2832263461827336
302-473-01,3.27,3.2598421354403397
302-482-01,3.0,2.9605959699606283
302-484-01,2.79,2.7505424554336635
302-488-01,3.43,3.4329182175064945
302-491-01,2.29,2.264617347743256
302-492-01,2.67,2.6916836212314053
302-493-01,2.92,2.888083596248518
302-494-01,1.7,1.7056361508206206
302-495-01,2.74,2.7135706777355773
302-497-01,3.29,3.293093595168083
302-499-01,2.91,2.8941494906549656
302-500-01,3.67,3.6349260531075287
302-503-01,3.89,3.8747186495194317
302-505-01,3.11,2.637752495854339
302-511-01,2.9,2.863997956401702
302-515-01,3.78,3.527089619027213
302-516-02,3.35,2.7014873121698932
302-517-01,2.35,2.3124719527107755
302-520-01,1.88,1.9260403336999323
302-524-01,3.07,2.3642174334379393
302-525-02,1.91,1.9261624585807509
302-528-01,1.98,1.9792172791113987
302-529-01,2.98,2.9571946519829244
302-530-01,2.98,2.978980214580169
302-538-01,2.8,2.766870542132926
302-539-02,3.22,3.1883184641005395
302-540-01,3.24,3.215065690703174
302-541-02,1.81,1.82153829894169
